Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10
Male	9/24/2023	32	Adolescent	Palestinian	Nur ShaMales R.C.	West Bank	9/24/2023	LIVE AMMINITION	Israeli security forces
Male	9/24/2023	21	Adolescent	Palestinian	Nur ShaMales R.C.	West Bank	9/24/2023	LIVE AMMUNITION	Israeli security forces
Male	9/22/2023	16	Children	Palestinian	Kfar Dan	West Bank	9/22/2023	LIVE AMMUNITION	Israeli security forces
Male	9/20/2023	19	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	9/20/2023	LIVE AMMUNITION	Israeli security forces
Male	9/19/2023	15	Children	Palestinian	Jenin R.C.	West Bank	9/19/2023	LIVE AMMUNITION	Israeli security forces
Male	9/19/2023	29	Adolescent	Palestinian	Jenin R.C.	West Bank	9/20/2023	MISSILE	Israeli security forces
Male	9/19/2023	24	Adolescent	Palestinian	Gaza City	Gaza Strip	9/19/2023	LIVE AMMUNITION	Israeli security forces
Male	9/19/2023	25	Adolescent	Palestinian	Jenin R.C.	West Bank	9/19/2023	MISSILE	Israeli security forces
Male	9/19/2023	23	Adolescent	Palestinian	Jenin R.C.	West Bank	9/19/2023	MISSILE	Israeli security forces
Male	9/9/2023	15	Children	Palestinian	al-'Arrub R.C.	West Bank	9/9/2023	LIVE AMMUNITION	Israeli security forces
Male	9/5/2023	16	Children	Palestinian	ArgaMalean	West Bank	9/5/2023	LIVE AMMUNITION	Israeli security forces
Male	9/5/2023	21	Adolescent	Palestinian	Nur ShaMales R.C.	West Bank	9/5/2023	LIVE AMMUNITION	Israeli security forces
Male	9/1/2023	45	Adolescent	Palestinian	'Aqqabah	West Bank	9/1/2023	LIVE AMMUNITION	Israeli security forces
Male	8/31/2023	41	Adolescent	Palestinian	Beit Sira	West Bank	8/31/2023	LIVE AMMUNITION	Israeli security forces
Male	8/30/2023	14	Children	Palestinian	al-Maleusrarah	West Bank	8/30/2023	LIVE AMMUNITION	Israeli security forces
Male	8/22/2023	17	Adolescent	Palestinian	a-Zababidah	West Bank	8/22/2023	LIVE AMMUNITION	Israeli security forces
Female	8/21/2023	40	Adolescent	Israeli	Beit Hagai	West Bank	8/21/2023	LIVE AMMUNITION	Palestinian civilians
Male	8/19/2023	28	Adolescent	Israeli	Huwarah	West Bank	8/19/2023	LIVE AMMUNITION	Palestinian civilians
Male	8/19/2023	60	Old	Israeli	Huwarah	West Bank	8/19/2023	LIVE AMMUNITION	Palestinian civilians
Male	8/17/2023	32	Adolescent	Palestinian	Jenin	West Bank	8/17/2023	LIVE AMMUNITION	Israeli security forces
Male	8/16/2023	19	Adolescent	Palestinian	Balata R.C.	West Bank	8/19/2023	LIVE AMMUNITION	Israeli security forces
Male	8/15/2023	16	Children	Palestinian	'Aqbat Jaber R.C.	West Bank	8/15/2023	LIVE AMMUNITION	Israeli security forces
Male	8/15/2023	25	Adolescent	Palestinian	'Aqbat Jaber R.C.	West Bank	8/15/2023	LIVE AMMUNITION	Israeli security forces
Male	8/11/2023	24	Adolescent	Palestinian	TulkarMale R.C.	West Bank	8/11/2023	LIVE AMMUNITION	Israeli security forces
Male	8/10/2023	24	Adolescent	Palestinian	Nablus	West Bank	8/19/2023	LIVE AMMUNITION	Israeli security forces
Male	8/6/2023	21	Adolescent	Palestinian	Bir al-Basha	West Bank	8/6/2023	LIVE AMMUNITION	Israeli security forces
Male	8/6/2023	26	Adolescent	Palestinian	Bir al-Basha	West Bank	8/6/2023	LIVE AMMUNITION	Israeli security forces
Male	8/6/2023	16	Children	Palestinian	Bir al-Basha	West Bank	8/6/2023	LIVE AMMUNITION	Israeli security forces
Male	8/5/2023	22	Adolescent	Palestinian	Tel Aviv-Yafo	Israel	8/5/2023	LIVE AMMUNITION	Israeli civilians
Male	8/5/2023	42	Adolescent	Israeli	Tel Aviv-Yafo	Israel	8/5/2023	LIVE AMMUNITION	Palestinian civilians
Male	8/4/2023	18	Adolescent	Palestinian	Burqah	West Bank	8/4/2023	LIVE AMMUNITION	Israeli civilians
Male	8/4/2023	17	Adolescent	Palestinian	TulkarMale	West Bank	8/4/2023	LIVE AMMUNITION	Israeli security forces
Male	8/2/2023	17	Adolescent	Palestinian	Ofra	West Bank	8/7/2023	LIVE AMMUNITION	Israeli security forces
Male	8/1/2023	20	Adolescent	Palestinian	Malea'ale AduMaleiMale	West Bank	8/1/2023	LIVE AMMUNITION	Israeli security forces
Male	8/1/2023	15	Children	Palestinian	Maleitzpe EshtaMaleoa	West Bank	8/1/2023	LIVE AMMUNITION	Israeli security forces
Male	7/26/2023	23	Adolescent	Palestinian	Ein Beit al-Maleaa R.C.	West Bank	7/26/2023	LIVE AMMUNITION	Israeli security forces
Male	7/25/2023	32	Adolescent	Palestinian	Nablus	West Bank	7/25/2023	LIVE AMMUNITION	Israeli security forces
Male	7/25/2023	32	Adolescent	Palestinian	Nablus	West Bank	7/25/2023	LIVE AMMUNITION	Israeli security forces
Male	7/25/2023	42	Adolescent	Palestinian	Nablus	West Bank	7/25/2023	LIVE AMMUNITION	Israeli security forces
Male	7/21/2023	18	Adolescent	Palestinian	Sabastiya	West Bank	7/21/2023	LIVE AMMUNITION	Israeli security forces
Male	7/20/2023	18	Adolescent	Palestinian	Nablus	West Bank	7/20/2023	LIVE AMMUNITION	Israeli security forces
Male	7/10/2023	33	Adolescent	Palestinian	Deir NizaMale	West Bank	7/10/2023	LIVE AMMUNITION	Israeli security forces
Male	7/7/2023	32	Adolescent	Palestinian	Nablus	West Bank	7/7/2023	LIVE AMMUNITION	Israeli security forces
Male	7/7/2023	34	Adolescent	Palestinian	Nablus	West Bank	7/7/2023	LIVE AMMUNITION	Israeli security forces
Male	7/7/2023	24	Adolescent	Palestinian	UMale Safa	West Bank	7/7/2023	LIVE AMMUNITION	Israeli security forces
Male	7/4/2023	20	Adolescent	Palestinian	Tel Aviv-Yafo	Israel	7/4/2023	LIVE AMMUNITION	Israeli civilians
Male	7/4/2023	20	Adolescent	Palestinian	Jenin	West Bank	7/4/2023	LIVE AMMUNITION	Israeli security forces
Male	7/4/2023	16	Children	Palestinian	Jenin	West Bank	7/4/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	21	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	19	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	MISSILE	Israeli security forces
Male	7/3/2023	18	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	21	Adolescent	Palestinian	al-Birah	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	19	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	MISSILE	Israeli security forces
Male	7/3/2023	19	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	MISSILE	Israeli security forces
Male	7/3/2023	26	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	17	Adolescent	Palestinian	Jenin R.C.	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	15	Children	Palestinian	Jenin R.C.	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	16	Children	Palestinian	Jenin R.C.	West Bank	7/3/2023	LIVE AMMUNITION	Israeli security forces
Male	7/3/2023	19	Adolescent	Palestinian	Jenin	West Bank	8/25/2023	LIVE AMMUNITION	Israeli security forces
Male	6/24/2023	16	Children	Palestinian	Qalandia	West Bank	6/24/2023	LIVE AMMUNITION	Israeli security forces
Male	6/23/2023	39	Adolescent	Palestinian	'Askar R.C.	West Bank	6/24/2023	LIVE AMMUNITION	Israeli security forces
Male	6/21/2023	28	Adolescent	Palestinian	Jenin	West Bank	6/21/2023	MISSILE	Israeli security forces
Male	6/21/2023	27	Adolescent	Palestinian	Jenin	West Bank	6/21/2023	MISSILE	Israeli security forces
Male	6/21/2023	24	Adolescent	Palestinian	TurMaleusaya	West Bank	6/21/2023	LIVE AMMUNITION	Israeli security forces
Male	6/21/2023	15	Children	Palestinian	Jenin	West Bank	6/21/2023	MISSILE	Israeli security forces
Male	6/20/2023	17	Adolescent	Israeli	Eli	West Bank	6/20/2023	LIVE AMMUNITION	Palestinian civilians
Male	6/20/2023	24	Adolescent	Palestinian	Tubas	West Bank	6/20/2023	LIVE AMMUNITION	Israeli security forces
